BugID,Status,Requirement Name,Summary,Steps to reproduce,Severity,Frequency,Priority
BUG_Login_EmptyEmail_01,New,User Authentication,[User Authentication] Empty Email Field - Should return validation error with proper status code.,"1. Navigate to login page.
2. Leave email field empty.
3. Enter valid password (welcome01).
4. Click login button.

Test Data: Email: ; Password: welcome01

Expected Result: Validation error displayed. Status code: 422
Actual Result: Response Body: {""error"": ""Unauthorized""} Status code: 401",Minor,Always,High
BUG_Login_EmptyPassword_01,New,User Authentication,[User Authentication] Empty Password Field - Should return validation error with proper status code.,"1. Navigate to login page.
2. Enter valid admin email (admin@practicesoftwaretesting.com).
3. Leave password field empty.
4. Click login button.

Test Data: Email: admin@practicesoftwaretesting.com; Password:

Expected Result: Validation error displayed. Status code: 422
Actual Result: Response Body: {""error"": ""Unauthorized""} Status code: 401",Minor,Always,High
BUG_Login_EmptyStringEmail_01,New,User Authentication,[User Authentication] Empty String Email - Should return validation error with proper status code.,"1. Navigate to login page.
2. Enter empty string in email field.
3. Enter valid password (welcome01).
4. Click login button.

Test Data: Email: """"; Password: welcome01

Expected Result: Validation error displayed. Status code: 422
Actual Result: Response Body: {""error"": ""Unauthorized""} Status code: 401",Minor,Always,High
BUG_Login_EmptyStringPassword_01,New,User Authentication,[User Authentication] Empty String Password - Should return validation error with proper status code.,"1. Navigate to login page.
2. Enter valid customer email (customer@practicesoftwaretesting.com).
3. Enter empty string in password field.
4. Click login button.

Test Data: Email: customer@practicesoftwaretesting.com; Password: """"

Expected Result: Validation error displayed. Status code: 422
Actual Result: Response Body: {""error"": ""Unauthorized""} Status code: 401",Minor,Always,High
BUG_Login_LockedAccount_01,New,User Authentication,[User Authentication] Locked Account Login - Should return proper status code for locked account.,"1. Navigate to login page.
2. Enter locked account email (locked@practicesoftwaretesting.com).
3. Enter valid password (welcome01).
4. Click login button.

Test Data: Email: locked@practicesoftwaretesting.com; Password: welcome01

Expected Result: Account locked error displayed. Status code: 423
Actual Result: Response Body: {""error"": ""Account locked.""} Status code: 400",Tweak,Always,Medium
BUG_Invoice_MissingToken_01,New,Invoice Management,[Invoice Management] Missing Token Access - Should prevent unauthorized access without proper authentication.,"1. Attempt login with wrong password.
2. Send GET request to invoices endpoint without valid token.

Test Data: Email: customer@practicesoftwaretesting.com; Password: welcome02; Token:

Expected Result: Unauthorized error returned. Status code: 401
Actual Result: Invoices retrieved successfully. Status code: 200",Major,Always,High
BUG_Invoice_ExpiredToken_01,New,Invoice Management,[Invoice Management] Expired Token Access - Should prevent access with expired authentication token.,"1. Send GET request to invoices endpoint.
2. Include expired token in Authorization header.

Test Data: Email: customer@practicesoftwaretesting.com; Password: welcome01; Token: eyJ0eXAiOiJKV1QiLCJhbGciOiJIUzI1NiJ9.eyJpc3MiOiJodHRwczovL2FwaS5wcmFjdGljZXNvZnR3YXJldGVzdGluZy5jb20vdXNlcnMvcmVmcmVzaCIsImlhdCI6MTc1NDI0MTMxMywiZXhwIjoxNzU0MjQzMDM5LCJuYmYiOjE3NTQyNDI3MzksImp0aSI6Ik85WDRFNENSR1BYdjRoMnAiLCJzdWIiOiIwMUsxUkUwVENWUFFRNzJOM1BYNUJFRUdFOSIsInBydiI6IjIzYmQ1Yzg5NDlmNjAwYWRiMzllNzAxYzQwMDg3MmRiN2E1OTc2ZjciLCJyb2xlIjoidXNlciJ9.v3uex54Ewc99GV1_NJjX90Ji6KNOjo6mTqatwYEjcjc

Expected Result: Unauthorized error returned. Status code: 401
Actual Result: Invoices retrieved successfully. Status code: 200",Major,Always,High
BUG_Invoice_InvalidTokenFormat_01,New,Invoice Management,[Invoice Management] Invalid Token Format Access - Should prevent access with malformed token format.,"1. Send GET request to invoices endpoint.
2. Include invalid format token in Authorization header.

Test Data: Email: customer@practicesoftwaretesting.com; Password: welcome01; Token: abc def

Expected Result: Unauthorized error returned. Status code: 401
Actual Result: Invoices retrieved successfully. Status code: 200",Major,Always,High
BUG_Invoice_MalformedToken_01,New,Invoice Management,[Invoice Management] Malformed Token Access - Should prevent access with malformed authentication token.,"1. Send GET request to invoices endpoint.
2. Include malformed token in Authorization header.

Test Data: Email: customer@practicesoftwaretesting.com; Password: welcome01; Token: abc.def.ghi.jkl

Expected Result: Unauthorized error returned. Status code: 401
Actual Result: Invoices retrieved successfully. Status code: 200",Major,Always,High
BUG_Product_EmptyDescription_01,New,Product Management,[Product Management] Empty Description Product Creation - Should allow product creation with empty description.,"1. Send POST request to products endpoint.
2. Include smartphone data without description.
3. Include authentication token.

Test Data: Name: Smartphone Pro; Description: ; Price: 899.50; Category: 2; Brand: 2; Image: 2; Location Offer: true; Rental: false

Expected Result: Product created successfully. Status code: 201
Actual Result: Validation error returned. Status code: 422",Tweak,Always,Low
